,lens3
0,70.0
1,4.0
2,9.0
3,3.0
4,9.0
5,27.0
6,5.0
7,21.0
8,7.0
9,21.0
10,69.0
11,4.0
12,17.0
13,3.0
14,21.0
15,19.0
16,4.0
17,12.0
18,55.0
19,21.0
20,21.0
21,9.0
22,21.0
23,4.0
24,21.0
