,lens2
0,326.0
1,103.0
2,165.0
3,152.0
4,193.0
5,229.0
6,111.0
7,169.0
8,137.0
9,184.0
10,245.0
11,118.0
12,168.0
13,154.0
14,186.0
15,161.0
16,70.0
17,162.0
18,129.0
19,175.0
20,228.0
21,115.0
22,169.0
23,150.0
24,171.0
