,lens2
0,600.0
1,531.0
2,309.0
3,286.0
4,305.0
5,600.0
6,565.0
7,334.0
8,319.0
9,351.0
10,600.0
11,600.0
12,541.0
13,600.0
14,600.0
15,600.0
16,600.0
17,548.0
18,600.0
19,600.0
20,600.0
21,600.0
22,600.0
23,600.0
24,600.0
