,lens3
0,149.0
1,252.0
2,81.0
3,272.0
4,48.0
5,203.0
6,265.0
7,110.0
8,74.0
9,120.0
10,196.0
11,372.0
12,141.0
13,387.0
14,239.0
15,486.0
16,366.0
17,135.0
18,478.0
19,393.0
20,308.0
21,450.0
22,248.0
23,401.0
24,268.0
