,lens3
0,176.0
1,281.0
2,361.0
3,242.0
4,306.0
5,261.0
6,377.0
7,223.0
8,306.0
9,314.0
10,189.0
11,300.0
12,143.0
13,252.0
14,219.0
15,600.0
16,345.0
17,153.0
18,419.0
19,339.0
20,282.0
21,344.0
22,221.0
23,255.0
24,213.0
