,lens3
0,52.0
1,59.0
2,16.0
3,7.0
4,5.0
5,43.0
6,41.0
7,41.0
8,2.0
9,19.0
10,34.0
11,53.0
12,4.0
13,4.0
14,1.0
15,37.0
16,43.0
17,12.0
18,3.0
19,1.0
20,48.0
21,52.0
22,36.0
23,4.0
24,18.0
