,0,1
0,0,2
1,0,4
2,1,2
3,1,3
4,2,0
5,2,1
6,2,5
7,3,1
8,4,0
9,4,5
10,4,6
11,5,2
12,5,4
13,5,7
14,6,4
15,7,5
16,7,8
17,7,9
18,8,7
19,8,9
20,8,10
21,9,7
22,9,8
23,9,19
24,10,8
25,10,13
26,11,13
27,12,110
28,12,13
29,12,16
30,13,10
31,13,11
32,13,12
33,13,15
34,14,15
35,14,111
36,14,112
37,15,13
38,15,14
39,15,16
40,15,17
41,16,12
42,16,15
43,17,15
44,18,111
45,19,9
46,19,112
47,19,21
48,19,22
49,20,21
50,20,23
51,21,19
52,21,20
53,21,22
54,21,23
55,22,19
56,22,21
57,22,112
58,23,20
59,23,21
60,23,25
61,24,25
62,24,27
63,25,23
64,25,24
65,25,26
66,26,25
67,27,24
68,27,28
69,27,29
70,28,27
71,28,30
72,29,27
73,29,31
74,30,28
75,30,32
76,30,33
77,31,29
78,32,30
79,32,33
80,32,34
81,32,35
82,33,30
83,33,32
84,33,36
85,33,50
86,34,32
87,34,35
88,34,51
89,35,32
90,35,34
91,35,52
92,36,33
93,36,41
94,36,45
95,37,38
96,37,39
97,37,40
98,38,37
99,38,113
100,38,39
101,39,37
102,39,38
103,39,40
104,40,37
105,40,39
106,40,41
107,40,42
108,41,36
109,41,40
110,42,40
111,42,43
112,43,42
113,43,44
114,43,46
115,44,43
116,44,45
117,44,48
118,45,36
119,45,44
120,46,43
121,46,47
122,46,55
123,47,46
124,47,55
125,48,44
126,48,114
127,48,55
128,48,63
129,49,114
130,49,50
131,49,57
132,50,33
133,50,49
134,50,51
135,51,34
136,51,50
137,51,58
138,52,35
139,52,59
140,52,70
141,53,54
142,54,53
143,54,55
144,54,60
145,55,46
146,55,47
147,55,48
148,55,54
149,55,56
150,55,61
151,56,55
152,57,49
153,57,58
154,57,114
155,58,51
156,58,57
157,58,59
158,58,62
159,58,74
160,59,52
161,59,58
162,59,75
163,60,54
164,60,61
165,61,55
166,61,60
167,61,64
168,62,58
169,62,69
170,62,73
171,63,48
172,63,64
173,63,66
174,63,69
175,64,61
176,64,63
177,64,116
178,64,65
179,65,64
180,65,66
181,66,63
182,66,65
183,66,115
184,66,67
185,67,66
186,67,116
187,67,68
188,68,67
189,68,69
190,68,91
191,69,62
192,69,63
193,69,68
194,70,52
195,70,76
196,70,78
197,71,78
198,72,116
199,72,73
200,72,79
201,72,83
202,73,62
203,73,72
204,73,74
205,73,86
206,74,58
207,74,73
208,74,75
209,74,85
210,75,59
211,75,74
212,75,76
213,76,70
214,76,75
215,76,77
216,76,84
217,77,76
218,77,78
219,77,88
220,78,70
221,78,71
222,78,77
223,79,72
224,79,80
225,80,79
226,80,117
227,81,117
228,81,82
229,81,91
230,82,81
231,82,117
232,83,72
233,83,118
234,84,76
235,84,85
236,84,87
237,84,88
238,85,74
239,85,84
240,85,86
241,86,73
242,86,85
243,86,96
244,87,84
245,87,88
246,87,90
247,88,77
248,88,84
249,88,87
250,88,99
251,89,97
252,90,87
253,90,97
254,91,68
255,91,81
256,91,118
257,91,94
258,92,93
259,92,108
260,93,92
261,93,94
262,93,106
263,94,91
264,94,93
265,95,100
266,95,106
267,95,109
268,96,86
269,96,118
270,96,97
271,96,100
272,97,89
273,97,90
274,97,96
275,97,101
276,98,101
277,99,88
278,99,102
279,100,95
280,100,96
281,100,105
282,100,109
283,101,97
284,101,98
285,101,102
286,102,99
287,102,101
288,102,103
289,103,102
290,103,104
291,104,103
292,104,119
293,105,100
294,105,119
295,106,93
296,106,95
297,106,107
298,107,106
299,107,108
300,108,92
301,108,107
302,109,95
303,109,100
304,110,12
305,111,14
306,111,18
307,111,112
308,112,14
309,112,19
310,112,22
311,112,111
312,112,113
313,113,38
314,113,112
315,114,48
316,114,49
317,114,57
318,115,66
319,116,64
320,116,67
321,116,72
322,117,80
323,117,81
324,117,82
325,118,83
326,118,91
327,118,96
328,119,104
329,119,105
