,0
490,39.2
491,39.28
492,39.36
493,39.44
494,39.52
495,39.6
496,39.68
497,39.76
498,39.84
499,39.92
500,40.0
501,40.08
502,40.160000000000004
503,40.24
504,40.32
505,40.4
506,40.480000000000004
507,40.56
508,40.64
509,40.72
510,40.800000000000004
511,40.88
512,40.96
513,41.04
514,41.12
515,41.2
516,41.28
517,41.36
518,41.44
519,41.52
520,41.6
521,41.68
522,41.76
523,41.84
524,41.92
525,42.0
526,42.08
527,42.160000000000004
528,42.24
529,42.32
530,42.4
531,42.480000000000004
532,42.56
533,42.64
534,42.72
535,42.800000000000004
536,42.88
537,42.96
538,43.04
539,43.12
540,43.2
541,43.28
542,43.36
543,43.44
544,43.52
545,43.6
546,43.68
547,43.76
548,43.84
549,43.92
550,44.0
551,44.08
552,44.160000000000004
553,44.24
554,44.32
555,44.4
556,44.480000000000004
557,44.56
558,44.64
559,44.72
560,44.800000000000004
561,44.88
562,44.96
563,45.04
564,45.12
565,45.2
566,45.28
567,45.36
568,45.44
569,45.52
570,45.6
571,45.68
572,45.76
573,45.84
574,45.92
575,46.0
576,46.08
577,46.160000000000004
578,46.24
579,46.32
580,46.4
581,46.480000000000004
582,46.56
583,46.64
584,46.72
585,46.800000000000004
586,46.88
587,46.96
588,47.04
589,47.12
590,47.2
591,47.28
592,47.36
593,47.44
594,47.52
595,47.6
596,47.68
597,47.76
598,47.84
599,47.92
600,48.0
601,48.08
602,48.160000000000004
603,48.24
604,48.32
605,48.4
606,48.480000000000004
607,48.56
608,48.64
609,48.72
610,48.800000000000004
611,48.88
612,48.96
613,49.04
614,49.120000000000005
615,49.2
616,49.28
617,49.36
618,49.44
619,49.52
620,49.6
621,49.68
622,49.76
623,49.84
624,49.92
625,50.0
626,50.08
627,50.160000000000004
628,50.24
629,50.32
630,50.4
631,50.480000000000004
632,50.56
633,50.64
634,50.72
635,50.800000000000004
636,50.88
637,50.96
638,51.04
639,51.120000000000005
640,51.2
641,51.28
642,51.36
643,51.44
644,51.52
645,51.6
646,51.68
647,51.76
648,51.84
649,51.92
650,52.0
651,52.08
652,52.160000000000004
653,52.24
654,52.32
655,52.4
656,52.480000000000004
